
=== CANONICAL COLLECTION ===
----------------------------------- State 0 -----------------------------------
[ Goal            -> *Program                                     , End ]
[ ControlStat     -> *ProcDeclaration                             , return ]
[ ControlStat     -> *CondStat                                    , break ]
[ ControlStat     -> *LoopStat                                    , break ]
[ ControlStat     -> *ProcDeclaration                             , break ]
[ ControlStat     -> *CondStat                                    , continue ]
[ ControlStat     -> *LoopStat                                    , continue ]
[ ControlStat     -> *ProcDeclaration                             , continue ]
[ Access          -> *Access [ Expr ]                             , = ]
[ Access          -> *Access ( Args )                             , = ]
[ Access          -> *Access . Identifier                         , = ]
[ Access          -> *AccessBase                                  , = ]
[ Expr            -> *Expr || LogAnd                              , || ]
[ Expr            -> *LogAnd                                      , || ]
[ LogAnd          -> *LogAnd && Relation                          , ; ]
[ LogAnd          -> *Relation                                    , ; ]
[ While           -> *while ( Expr ) Block                        , End ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , End ]
[ CondStat        -> *if ( Expr ) Block                           , - ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , - ]
[ CondStat        -> *if ( Expr ) Block else Block                , - ]
[ LoopStat        -> *While                                       , - ]
[ LoopStat        -> *For                                         , - ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , - ]
[ CondStat        -> *if ( Expr ) Block                           , ( ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , ( ]
[ CondStat        -> *if ( Expr ) Block else Block                , ( ]
[ LoopStat        -> *While                                       , ( ]
[ LoopStat        -> *For                                         , ( ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , ( ]
[ CondStat        -> *if ( Expr ) Block                           , integer ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , integer ]
[ CondStat        -> *if ( Expr ) Block else Block                , integer ]
[ LoopStat        -> *While                                       , integer ]
[ LoopStat        -> *For                                         , integer ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , integer ]
[ CondStat        -> *if ( Expr ) Block                           , floating ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , floating ]
[ CondStat        -> *if ( Expr ) Block else Block                , floating ]
[ LoopStat        -> *While                                       , floating ]
[ LoopStat        -> *For                                         , floating ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , floating ]
[ CondStat        -> *if ( Expr ) Block                           , name ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , name ]
[ CondStat        -> *if ( Expr ) Block else Block                , name ]
[ LoopStat        -> *While                                       , name ]
[ LoopStat        -> *For                                         , name ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , name ]
[ CondStat        -> *if ( Expr ) Block                           , litstring ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , litstring ]
[ CondStat        -> *if ( Expr ) Block else Block                , litstring ]
[ LoopStat        -> *While                                       , litstring ]
[ LoopStat        -> *For                                         , litstring ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , litstring ]
[ CondStat        -> *if ( Expr ) Block                           , true ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , true ]
[ CondStat        -> *if ( Expr ) Block else Block                , true ]
[ LoopStat        -> *While                                       , true ]
[ LoopStat        -> *For                                         , true ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , true ]
[ CondStat        -> *if ( Expr ) Block                           , false ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , false ]
[ CondStat        -> *if ( Expr ) Block else Block                , false ]
[ LoopStat        -> *While                                       , false ]
[ LoopStat        -> *For                                         , false ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , false ]
[ CondStat        -> *if ( Expr ) Block                           , if ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , if ]
[ CondStat        -> *if ( Expr ) Block else Block                , if ]
[ LoopStat        -> *While                                       , if ]
[ LoopStat        -> *For                                         , if ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , if ]
[ CondStat        -> *if ( Expr ) Block                           , while ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , while ]
[ CondStat        -> *if ( Expr ) Block else Block                , while ]
[ LoopStat        -> *While                                       , while ]
[ LoopStat        -> *For                                         , while ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , while ]
[ CondStat        -> *if ( Expr ) Block                           , for ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , for ]
[ CondStat        -> *if ( Expr ) Block else Block                , for ]
[ LoopStat        -> *While                                       , for ]
[ LoopStat        -> *For                                         , for ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , for ]
[ CondStat        -> *if ( Expr ) Block                           , init ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , init ]
[ CondStat        -> *if ( Expr ) Block else Block                , init ]
[ LoopStat        -> *While                                       , init ]
[ LoopStat        -> *For                                         , init ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , init ]
[ CondStat        -> *if ( Expr ) Block                           , proc ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , proc ]
[ CondStat        -> *if ( Expr ) Block else Block                , proc ]
[ LoopStat        -> *While                                       , proc ]
[ LoopStat        -> *For                                         , proc ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , proc ]
[ CondStat        -> *if ( Expr ) Block                           , return ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , return ]
[ CondStat        -> *if ( Expr ) Block else Block                , return ]
[ LoopStat        -> *While                                       , return ]
[ LoopStat        -> *For                                         , return ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , return ]
[ CondStat        -> *if ( Expr ) Block                           , break ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , break ]
[ CondStat        -> *if ( Expr ) Block else Block                , break ]
[ LoopStat        -> *While                                       , break ]
[ LoopStat        -> *For                                         , break ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , break ]
[ CondStat        -> *if ( Expr ) Block                           , continue ]
[ CondStat        -> *if ( Expr ) Block else CondStat             , continue ]
[ CondStat        -> *if ( Expr ) Block else Block                , continue ]
[ LoopStat        -> *While                                       , continue ]
[ LoopStat        -> *For                                         , continue ]
[ ProcDeclaration -> *proc Identifier ( Params ) -> VarType Block , continue ]
[ Access          -> *Access [ Expr ]                             , [ ]
[ Access          -> *Access ( Args )                             , [ ]
[ Access          -> *Access . Identifier                         , [ ]
[ Access          -> *AccessBase                                  , [ ]
[ Access          -> *Access [ Expr ]                             , ( ]
[ Access          -> *Access ( Args )                             , ( ]
[ Access          -> *Access . Identifier                         , ( ]
[ Access          -> *AccessBase                                  , ( ]
[ Access          -> *Access [ Expr ]                             , . ]
[ Access          -> *Access ( Args )                             , . ]
[ Access          -> *Access . Identifier                         , . ]
[ Access          -> *AccessBase                                  , . ]
[ AccessBase      -> *Identifier                                  , = ]
[ AccessBase      -> *( Expr )                                    , = ]
[ LogAnd          -> *LogAnd && Relation                          , || ]
[ LogAnd          -> *Relation                                    , || ]
[ LogAnd          -> *LogAnd && Relation                          , && ]
[ LogAnd          -> *Relation                                    , && ]
[ Relation        -> *Relation RelOp Eval                         , ; ]
[ Relation        -> *Eval                                        , ; ]
[ While           -> *while ( Expr ) Block                        , - ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , - ]
[ While           -> *while ( Expr ) Block                        , ( ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , ( ]
[ While           -> *while ( Expr ) Block                        , integer ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , integer ]
[ While           -> *while ( Expr ) Block                        , floating ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , floating ]
[ While           -> *while ( Expr ) Block                        , name ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , name ]
[ While           -> *while ( Expr ) Block                        , litstring ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , litstring ]
[ While           -> *while ( Expr ) Block                        , true ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , true ]
[ While           -> *while ( Expr ) Block                        , false ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , false ]
[ While           -> *while ( Expr ) Block                        , if ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , if ]
[ While           -> *while ( Expr ) Block                        , while ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , while ]
[ While           -> *while ( Expr ) Block                        , for ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , for ]
[ While           -> *while ( Expr ) Block                        , init ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , init ]
[ While           -> *while ( Expr ) Block                        , proc ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , proc ]
[ While           -> *while ( Expr ) Block                        , return ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , return ]
[ While           -> *while ( Expr ) Block                        , break ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , break ]
[ While           -> *while ( Expr ) Block                        , continue ]
[ For             -> *for ( Stat ; Expr ; Stat ) Block            , continue ]
[ AccessBase      -> *Identifier                                  , [ ]
[ AccessBase      -> *( Expr )                                    , [ ]
[ AccessBase      -> *Identifier                                  , ( ]
[ AccessBase      -> *( Expr )                                    , ( ]
[ AccessBase      -> *Identifier                                  , . ]
[ AccessBase      -> *( Expr )                                    , . ]
[ Identifier      -> *name                                        , = ]
[ Relation        -> *Relation RelOp Eval                         , || ]
[ Relation        -> *Eval                                        , || ]
[ Relation        -> *Relation RelOp Eval                         , && ]
[ Relation        -> *Eval                                        , && ]
[ Relation        -> *Relation RelOp Eval                         , =? ]
[ Relation        -> *Relation RelOp Eval                         , >= ]
[ Relation        -> *Relation RelOp Eval                         , <= ]
[ Relation        -> *Relation RelOp Eval                         , > ]
[ Relation        -> *Relation RelOp Eval                         , < ]
[ Relation        -> *Eval                                        , =? ]
[ Relation        -> *Eval                                        , >= ]
[ Relation        -> *Eval                                        , <= ]
[ Relation        -> *Eval                                        , > ]
[ Relation        -> *Eval                                        , < ]
[ Eval            -> *Eval + Term                                 , ; ]
[ Eval            -> *Eval - Term                                 , ; ]
[ Eval            -> *Term                                        , ; ]
[ Identifier      -> *name                                        , [ ]
[ Identifier      -> *name                                        , ( ]
[ Identifier      -> *name                                        , . ]
[ Eval            -> *Eval + Term                                 , || ]
[ Eval            -> *Eval - Term                                 , || ]
[ Eval            -> *Term                                        , || ]
[ Eval            -> *Eval + Term                                 , && ]
[ Eval            -> *Eval - Term                                 , && ]
[ Eval            -> *Term                                        , && ]
[ Eval            -> *Eval + Term                                 , =? ]
[ Eval            -> *Eval - Term                                 , =? ]
[ Eval            -> *Term                                        , =? ]
[ Eval            -> *Eval + Term                                 , >= ]
[ Eval            -> *Eval - Term                                 , >= ]
[ Eval            -> *Term                                        , >= ]
[ Eval            -> *Eval + Term                                 , <= ]
[ Eval            -> *Eval - Term                                 , <= ]
[ Eval            -> *Term                                        , <= ]
[ Eval            -> *Eval + Term                                 , > ]
[ Eval            -> *Eval - Term                                 , > ]
[ Eval            -> *Term                                        , > ]
[ Eval            -> *Eval + Term                                 , < ]
[ Eval            -> *Eval - Term                                 , < ]
[ Eval            -> *Term                                        , < ]
[ Eval            -> *Eval + Term                                 , + ]
[ Eval            -> *Eval - Term                                 , + ]
[ Eval            -> *Term                                        , + ]
[ Eval            -> *Eval + Term                                 , - ]
[ Eval            -> *Eval - Term                                 , - ]
[ Eval            -> *Term                                        , - ]
[ Term            -> *Term * Negative                             , ; ]
[ Term            -> *Term / Negative                             , ; ]
[ Term            -> *Negative                                    , ; ]
[ Term            -> *Term * Negative                             , || ]
[ Term            -> *Term / Negative                             , || ]
[ Term            -> *Negative                                    , || ]
[ Term            -> *Term * Negative                             , && ]
[ Term            -> *Term / Negative                             , && ]
[ Term            -> *Negative                                    , && ]
[ Term            -> *Term * Negative                             , =? ]
[ Term            -> *Term / Negative                             , =? ]
[ Term            -> *Negative                                    , =? ]
[ Term            -> *Term * Negative                             , >= ]
[ Term            -> *Term / Negative                             , >= ]
[ Term            -> *Negative                                    , >= ]
[ Term            -> *Term * Negative                             , <= ]
[ Term            -> *Term / Negative                             , <= ]
[ Term            -> *Negative                                    , <= ]
[ Term            -> *Term * Negative                             , > ]
[ Term            -> *Term / Negative                             , > ]
[ Term            -> *Negative                                    , > ]
[ Term            -> *Term * Negative                             , < ]
[ Term            -> *Term / Negative                             , < ]
[ Term            -> *Negative                                    , < ]
[ Term            -> *Term * Negative                             , + ]
[ Term            -> *Term / Negative                             , + ]
[ Term            -> *Negative                                    , + ]
[ Term            -> *Term * Negative                             , - ]
[ Term            -> *Term / Negative                             , - ]
[ Term            -> *Negative                                    , - ]
[ Term            -> *Term * Negative                             , * ]
[ Term            -> *Term / Negative                             , * ]
[ Term            -> *Negative                                    , * ]
[ Term            -> *Term * Negative                             , / ]
[ Term            -> *Term / Negative                             , / ]
[ Term            -> *Negative                                    , / ]
[ Negative        -> *- Factor                                    , ; ]
[ Negative        -> *Factor                                      , ; ]
[ Negative        -> *- Factor                                    , || ]
[ Negative        -> *Factor                                      , || ]
[ Negative        -> *- Factor                                    , && ]
[ Negative        -> *Factor                                      , && ]
[ Negative        -> *- Factor                                    , =? ]
[ Negative        -> *Factor                                      , =? ]
[ Negative        -> *- Factor                                    , >= ]
[ Negative        -> *Factor                                      , >= ]
[ Negative        -> *- Factor                                    , <= ]
[ Negative        -> *Factor                                      , <= ]
[ Negative        -> *- Factor                                    , > ]
[ Negative        -> *Factor                                      , > ]
[ Negative        -> *- Factor                                    , < ]
[ Negative        -> *Factor                                      , < ]
[ Negative        -> *- Factor                                    , + ]
[ Negative        -> *Factor                                      , + ]
[ Negative        -> *- Factor                                    , - ]
[ Negative        -> *Factor                                      , - ]
[ Negative        -> *- Factor                                    , * ]
[ Negative        -> *Factor                                      , * ]
[ Negative        -> *- Factor                                    , / ]
[ Negative        -> *Factor                                      , / ]
[ Factor          -> *Access                                      , ; ]
[ Factor          -> *integer                                     , ; ]
[ Factor          -> *floating                                    , ; ]
[ Factor          -> *litstring                                   , ; ]
[ Factor          -> *true                                        , ; ]
[ Factor          -> *false                                       , ; ]
[ Factor          -> *Access                                      , || ]
[ Factor          -> *integer                                     , || ]
[ Factor          -> *floating                                    , || ]
[ Factor          -> *litstring                                   , || ]
[ Factor          -> *true                                        , || ]
[ Factor          -> *false                                       , || ]
[ Factor          -> *Access                                      , && ]
[ Factor          -> *integer                                     , && ]
[ Factor          -> *floating                                    , && ]
[ Factor          -> *litstring                                   , && ]
[ Factor          -> *true                                        , && ]
[ Factor          -> *false                                       , && ]
[ Factor          -> *Access                                      , =? ]
[ Factor          -> *integer                                     , =? ]
[ Factor          -> *floating                                    , =? ]
[ Factor          -> *litstring                                   , =? ]
[ Factor          -> *true                                        , =? ]
[ Factor          -> *false                                       , =? ]
[ Factor          -> *Access                                      , >= ]
[ Factor          -> *integer                                     , >= ]
[ Factor          -> *floating                                    , >= ]
[ Factor          -> *litstring                                   , >= ]
[ Factor          -> *true                                        , >= ]
[ Factor          -> *false                                       , >= ]
[ Factor          -> *Access                                      , <= ]
[ Factor          -> *integer                                     , <= ]
[ Factor          -> *floating                                    , <= ]
[ Factor          -> *litstring                                   , <= ]
[ Factor          -> *true                                        , <= ]
[ Factor          -> *false                                       , <= ]
[ Factor          -> *Access                                      , > ]
[ Factor          -> *integer                                     , > ]
[ Factor          -> *floating                                    , > ]
[ Factor          -> *litstring                                   , > ]
[ Factor          -> *true                                        , > ]
[ Factor          -> *false                                       , > ]
[ Factor          -> *Access                                      , < ]
[ Factor          -> *integer                                     , < ]
[ Factor          -> *floating                                    , < ]
[ Factor          -> *litstring                                   , < ]
[ Factor          -> *true                                        , < ]
[ Factor          -> *false                                       , < ]
[ Factor          -> *Access                                      , + ]
[ Factor          -> *integer                                     , + ]
[ Factor          -> *floating                                    , + ]
[ Factor          -> *litstring                                   , + ]
[ Factor          -> *true                                        , + ]
[ Factor          -> *false                                       , + ]
[ Factor          -> *Access                                      , - ]
[ Factor          -> *integer                                     , - ]
[ Factor          -> *floating                                    , - ]
[ Factor          -> *litstring                                   , - ]
[ Factor          -> *true                                        , - ]
[ Factor          -> *false                                       , - ]
[ Factor          -> *Access                                      , * ]
[ Factor          -> *integer                                     , * ]
[ Factor          -> *floating                                    , * ]
[ Factor          -> *litstring                                   , * ]
[ Factor          -> *true                                        , * ]
[ Factor          -> *false                                       , * ]
[ Factor          -> *Access                                      , / ]
[ Factor          -> *integer                                     , / ]
[ Factor          -> *floating                                    , / ]
[ Factor          -> *litstring                                   , / ]
[ Factor          -> *true                                        , / ]
[ Factor          -> *false                                       , / ]
[ Access          -> *Access [ Expr ]                             , ; ]
[ Access          -> *Access ( Args )                             , ; ]
[ Access          -> *Access . Identifier                         , ; ]
[ Access          -> *AccessBase                                  , ; ]
[ Access          -> *Access [ Expr ]                             , || ]
[ Access          -> *Access ( Args )                             , || ]
[ Access          -> *Access . Identifier                         , || ]
[ Access          -> *AccessBase                                  , || ]
[ Access          -> *Access [ Expr ]                             , && ]
[ Access          -> *Access ( Args )                             , && ]
[ Access          -> *Access . Identifier                         , && ]
[ Access          -> *AccessBase                                  , && ]
[ Access          -> *Access [ Expr ]                             , =? ]
[ Access          -> *Access ( Args )                             , =? ]
[ Access          -> *Access . Identifier                         , =? ]
[ Access          -> *AccessBase                                  , =? ]
[ Access          -> *Access [ Expr ]                             , >= ]
[ Access          -> *Access ( Args )                             , >= ]
[ Access          -> *Access . Identifier                         , >= ]
[ Access          -> *AccessBase                                  , >= ]
[ Access          -> *Access [ Expr ]                             , <= ]
[ Access          -> *Access ( Args )                             , <= ]
[ Access          -> *Access . Identifier                         , <= ]
[ Access          -> *AccessBase                                  , <= ]
[ Access          -> *Access [ Expr ]                             , > ]
[ Access          -> *Access ( Args )                             , > ]
[ Access          -> *Access . Identifier                         , > ]
[ Access          -> *AccessBase                                  , > ]
[ Access          -> *Access [ Expr ]                             , < ]
[ Access          -> *Access ( Args )                             , < ]
[ Access          -> *Access . Identifier                         , < ]
[ Access          -> *AccessBase                                  , < ]
[ Access          -> *Access [ Expr ]                             , + ]
[ Access          -> *Access ( Args )                             , + ]
[ Access          -> *Access . Identifier                         , + ]
[ Access          -> *AccessBase                                  , + ]
[ Access          -> *Access [ Expr ]                             , - ]
[ Access          -> *Access ( Args )                             , - ]
[ Access          -> *Access . Identifier                         , - ]
[ Access          -> *AccessBase                                  , - ]
[ Access          -> *Access [ Expr ]                             , * ]
[ Access          -> *Access ( Args )                             , * ]
[ Access          -> *Access . Identifier                         , * ]
[ Access          -> *AccessBase                                  , * ]
[ Access          -> *Access [ Expr ]                             , / ]
[ Access          -> *Access ( Args )                             , / ]
[ Access          -> *Access . Identifier                         , / ]
[ Access          -> *AccessBase                                  , / ]
[ AccessBase      -> *Identifier                                  , ; ]
[ AccessBase      -> *( Expr )                                    , ; ]
[ AccessBase      -> *Identifier                                  , || ]
[ AccessBase      -> *( Expr )                                    , || ]
[ AccessBase      -> *Identifier                                  , && ]
[ AccessBase      -> *( Expr )                                    , && ]
[ AccessBase      -> *Identifier                                  , =? ]
[ AccessBase      -> *( Expr )                                    , =? ]
[ AccessBase      -> *Identifier                                  , >= ]
[ AccessBase      -> *( Expr )                                    , >= ]
[ AccessBase      -> *Identifier                                  , <= ]
[ AccessBase      -> *( Expr )                                    , <= ]
[ AccessBase      -> *Identifier                                  , > ]
[ AccessBase      -> *( Expr )                                    , > ]
[ AccessBase      -> *Identifier                                  , < ]
[ AccessBase      -> *( Expr )                                    , < ]
[ AccessBase      -> *Identifier                                  , + ]
[ AccessBase      -> *( Expr )                                    , + ]
[ AccessBase      -> *Identifier                                  , - ]
[ AccessBase      -> *( Expr )                                    , - ]
[ AccessBase      -> *Identifier                                  , * ]
[ AccessBase      -> *( Expr )                                    , * ]
[ AccessBase      -> *Identifier                                  , / ]
[ AccessBase      -> *( Expr )                                    , / ]
[ Identifier      -> *name                                        , ; ]
[ Identifier      -> *name                                        , || ]
[ Identifier      -> *name                                        , && ]
[ Identifier      -> *name                                        , =? ]
[ Identifier      -> *name                                        , >= ]
[ Identifier      -> *name                                        , <= ]
[ Identifier      -> *name                                        , > ]
[ Identifier      -> *name                                        , < ]
[ Identifier      -> *name                                        , + ]
[ Identifier      -> *name                                        , - ]
[ Identifier      -> *name                                        , * ]
[ Identifier      -> *name                                        , / ]
-------------------------------------------------------------------------------

----------- State 1 ------------
[ Stat -> Expr *          , ; ]
