
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T8   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT83 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
33    | r10  |      | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  | r10  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
34    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
35    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s88  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
36    |      |      | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
37    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      | r53  | s89  | s90  | s91  | s92  | s93  | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 94   |      |      |      |      |      |      |      |      |      |      |
38    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      | s95  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
39    |      |      | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      | r61  | r61  | r61  | r61  | r61  | r61  | r61  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
40    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 2    | 3    | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   | 37   | 96   | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
41    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 97   | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   |      |      | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
42    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 98   | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   |      |      | 39   |      |      |      |      |      |      |      |      |      |      |      |      |      |
43    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   |      |      | 99   |      |      |      |      |      |      |      |      |      |      |      |      |      |
44    |      |      | s5   | s46  | s7   | s8   | s47  | s10  | s11  | s12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 4    | 48   | 49   |      |      |      |      |      |      |      |      |      |      |      |      |      | 50   |      |      | 100  |      |      |      |      |      |      |      |      |      |      |      |      |      |
45    |      |      | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      | r62  | r62  | r62  | r62  | r62  | r62  | r62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
46    |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 101  | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 67   | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
47    |      |      | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
48    |      |      | r64  | s102 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | s103 | s104 |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
49    |      |      | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
50    |      |      | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
51    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s106 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s105 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
52    |      |      | s108 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s107 |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
53    |      |      | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r58  | r58  | s109 | s110 |      |      |      |      |      |      |      |      |      | r58  | r58  | r58  | r58  | r58  | r58  | r58  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
54    |      |      | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      | r63  | r63  | r63  | r63  | r63  | r63  | r63  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
55    |      |      |      | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 111  | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
56    |      |      | s55  | s56  | s57  | s58  | s59  | s60  | s61  | s62  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 112  | 52   | 53   | 54   | 63   | 64   |      |      |      |      |      |      |      |      |      |      |      |      |      | 65   | 66   | 67   | 68   |      |      |      |      |      |      |      |      |      |      |      |      |      |
57    |      |      | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      | r65  | r65  | r65  | r65  | r65  | r65  | r65  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
58    |      |      | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      | r66  | r66  | r66  | r66  | r66  | r66  | r66  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
59    |      |      | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      | r77  | r77  | r77  | r77  | r77  | r77  | r77  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
60    |      |      | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      | r67  | r67  | r67  | r67  | r67  | r67  | r67  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
61    |      |      | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      | r68  | r68  | r68  | r68  | r68  | r68  | r68  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
62    |      |      | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      | r69  | r69  | r69  | r69  | r69  | r69  | r69  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
63    |      |      | r64  | s113 |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | s114 | s115 |      |      |      |      |      |      |      | r64  | r64  | r64  | r64  | r64  | r64  | r64  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
64    |      |      | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      | r74  | r74  | r74  | r74  | r74  | r74  | r74  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
65    |      |      | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      | r75  | r75  | r75  | r75  | r75  | r75  | r75  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
